X_FROM,X_TO,LABEL,ID,DWT_Energy_Level_1_FrL,DWT_Energy_Level_2_FrL,DWT_Energy_Level_3_FrL,DWT_Energy_Level_4_FrL,DWT_Energy_Level_5_FrL,DWT_Energy_Level_6_FrL,Delta_Power_FrL,Theta_Power_FrL,Alpha_Power_FrL,Beta_Power_FrL,Hjorth_Activity_FrL,Hjorth_Mobility_FrL,Hjorth_Complexity_FrL,Shannon_Entropy_FrL,DWT_Energy_Level_1_FrR,DWT_Energy_Level_2_FrR,DWT_Energy_Level_3_FrR,DWT_Energy_Level_4_FrR,DWT_Energy_Level_5_FrR,DWT_Energy_Level_6_FrR,Delta_Power_FrR,Theta_Power_FrR,Alpha_Power_FrR,Beta_Power_FrR,Hjorth_Activity_FrR,Hjorth_Mobility_FrR,Hjorth_Complexity_FrR,Shannon_Entropy_FrR,DWT_Energy_Level_1_OcR,DWT_Energy_Level_2_OcR,DWT_Energy_Level_3_OcR,DWT_Energy_Level_4_OcR,DWT_Energy_Level_5_OcR,DWT_Energy_Level_6_OcR,Delta_Power_OcR,Theta_Power_OcR,Alpha_Power_OcR,Beta_Power_OcR,Hjorth_Activity_OcR,Hjorth_Mobility_OcR,Hjorth_Complexity_OcR,Shannon_Entropy_OcR
65.0,74.0,swd,Ati4x3,41.736788000884594,115.92115041255651,80.74192417003029,22.575744372048792,1.6757926943667099,0.019530446121594255,0.009217926771366455,0.030985249452366796,0.0225599212447556,0.011157448590088704,0.07279499427335237,0.22874036591429,0.3791150897151356,7.212390939685493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,86.0,swd,Ati4x3,22.435526114252916,13.295247290135265,5.960773055346546,2.1586042036904214,0.3095615326593251,0.005266818975926122,0.004233872073279689,0.0031318216301541983,0.0010833945547384532,0.0007352241451803242,0.009146029424249039,0.18509599650077768,0.4421112045584216,6.413593832356366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,97.0,swd,Ati4x3,78.88567879161066,172.98125770875066,106.91618215786193,28.07443366239617,2.159236808798463,0.028284932035139487,0.015618455493773106,0.03894848751469444,0.023551022713720473,0.010889005973925845,0.08830157534368781,0.21474994052647187,0.3791140892417603,7.105269409823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,102.0,swd,Ati4x3,7.9403471534787124,14.468213695989288,5.511344783160478,2.5524331329489227,0.1449251478606775,0.002622740855034245,0.004375484915889901,0.006196200043783864,0.0025959490676200733,0.0014935891984361816,0.014629835506716536,0.19642467886436413,0.39806229340830196,6.281991289694905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,106.0,swd,Ati4x3,23.98003415686811,55.92201944658653,35.043306966272056,10.074958376746633,0.5426149278911665,0.007489543172387335,0.012358662254933522,0.03705119388695548,0.023528035918102392,0.010274026813637305,0.07835586837486905,0.21898925461326565,0.3647770951535416,7.191622738360426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,111.0,swd,Ati4x3,21.826855299680616,31.5639802150101,15.29496560505065,2.362757451687364,0.18294819055081887,0.003026994624993977,0.010669694835119575,0.010444278876812067,0.0037419475951792503,0.0011744599690030034,0.03224678631077317,0.18093779466634663,0.3444815508819211,6.744752150342842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,115.0,swd,Ati4x3,23.68581027728705,41.48538621707381,28.798217727416713,8.67219824033243,0.7564782916812829,0.011179365676496356,0.01457478168914309,0.02751486683656686,0.01951829282497132,0.00964099313403332,0.06452987467267622,0.23002557208321453,0.40294941626757846,7.055385272080223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,117.0,swd,Ati4x3,26.970502627108456,4.953018395332695,5.393547853927104,1.1939800109540988,0.06917316187404904,0.0013719555402988677,0.0058041285227599364,0.0029806649387519348,0.001642546570999981,0.0009687293108352727,0.025623433275872607,0.16997781748115895,0.3677555371408228,6.038861221872065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.0,121.0,swd,Ati4x3,22.536150411302316,39.467001562139075,28.776488405827934,3.758831843370129,0.37741301698501883,0.005116918471845705,0.010376978751290972,0.028629223378251547,0.016348178717045667,0.005721291265350039,0.05752130885543866,0.2084915409609135,0.3579714291643539,6.950334188421516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.0,150.0,swd,Ati4x3,85.89236638002652,62.11329873012768,35.218715757953134,9.865438189228264,0.9407803641340715,0.015349061325759463,0.005489168155923546,0.0036611422555278368,0.0019442524276165121,0.0009028929215154378,0.01502936183122219,0.18551893044448964,0.40372717285795956,6.049628669269653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0,156.0,swd,Ati4x3,26.72394102752547,69.80751344683284,47.3953850896262,10.86198267342196,0.7542255572181424,0.011076415282281704,0.008817018747609057,0.028970326669819135,0.01834003776276409,0.008279554160872874,0.06346363270771649,0.2184077212351162,0.37134547595422873,7.066488172908363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0,159.0,swd,Ati4x3,9.207504457928081,4.324825990635832,1.7835653609862094,0.6133973119331723,0.058439670116938944,0.0011973337375860173,0.0036937626536382782,0.0021692640988157747,0.0009887298253716734,0.0007108415693233248,0.012447910767827801,0.16950781580125407,0.39933194416984424,7.015877657788966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159.0,165.0,swd,Ati4x3,28.69606621912309,74.1642805958192,42.22672394898542,8.590811784334857,0.6823048279690246,0.008392469519099655,0.010857523630861357,0.032056720373962816,0.01840669940986052,0.0072100645276414865,0.06411948229807563,0.2050779938598108,0.355768181670511,7.226487104615762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.0,175.0,swd,Ati4x3,23.254274527630226,14.00764382672765,5.830556560922805,1.8220797450129087,0.2659432807869027,0.004507574748716465,0.003069590664825839,0.0024958716379413284,0.0008889015007904684,0.0005536429001293941,0.010457707475655722,0.166571054800828,0.4439856442818016,6.362447380068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.0,182.0,swd,Ati4x3,56.49384328818119,82.83710555641723,49.69526047306348,14.897845791682869,1.021447742475913,0.015461022111342121,0.018528557565829638,0.0349991729362319,0.016252614024992104,0.0072450635879119235,0.07314119658836478,0.20282612859366503,0.38611663523803247,7.054721930280809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.0,191.0,swd,Ati4x3,39.79828863119404,46.01199388038965,17.92015887051133,3.9129944794586073,0.6103219559437066,0.007317937987804091,0.012207448977931546,0.009486014743554594,0.004371508757426277,0.0017267321961615522,0.029059288430975556,0.17439285398128768,0.37247579081913834,6.45164609419485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.0,194.0,swd,Ati4x3,19.015615045903374,44.719622393947745,25.933000033242713,6.001869801969748,0.6122357207633242,0.007809046637767769,0.017730152253858267,0.04010825283246612,0.020307993476048242,0.010220440521114607,0.07969726822322243,0.2140964977401315,0.3891067139757839,7.047921834565758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
